id,year,opening,rrh,timebin,wolf,author,book_type,picture_rrh,picture_wolf,rrh_new,any_picture_wolf,any_picture_rrh,wolf_cover,rrh_cover,length,genre,reprint,year_corrected,exact_date
KW XKZ 1671,1960,1,0.0,4,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,759,verhaal,no,1965,False
KW XKZ 1517,1960,1,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,2113,verhaal,no,1965,False
KW XKR 1852,1960,1,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,954,verhaal,no,1965,False
KW XKR 6242,1960,0,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,783,verhaal,no,1960,False
KW XKE 686,1960,0,1.0,4,1,Anonymous,(rijmend) gedicht,1,1,1.0,1,1,0,0,54,(rijmend) gedicht,no,1965,False
KW XKZ 1151,1960,1,0.0,4,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,2938,verhaal,no,1965,False
KW BJ 51879,1962,1,0.0,4,1,Hapax,verhaal,1,0,0.0,1,1,1,0,1561,verhaal,no,1962,True
KW BJ 52782,1962,1,0.0,4,0,Hapax,verhaal,1,0,0.0,1,1,0,0,1378,verhaal,no,1962,True
KW BJ 53171,1963,1,0.0,4,1,Hapax,picture book,1,1,0.0,1,1,0,0,1641,picture book,no,1963,True
KW BJ 53173,1966,1,0.0,4,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,1478,verhaal,no,1966,True
KW BJ 52023,1967,0,0.0,4,1,Dina Alida Cramer-Schaap,verhaal,0,0,0.0,1,1,0,0,2019,verhaal,yes,1967,True
