id,year,opening,rrh,timebin,wolf,author,book_type,picture_rrh,picture_wolf,rrh_new,any_picture_wolf,any_picture_rrh,wolf_cover,rrh_cover,length
VD 940 6-1,1975,0,0.0,4,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,977
FE 1975 45,1975,1,0.0,4,0,Ef Leonard,verhaal,0,0,0.0,0,0,0,0,1401
VE 40013 2,1975,1,0.0,4,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,543
FD 1976 40104,1975,0,1.0,4,1,Anonymous,picture book,1,1,1.0,1,1,0,0,128
FF 1977 4,1976,1,0.0,4,1,Lea Smulders,verhaal,1,1,0.0,1,1,0,0,638
FF 1976 40005,1976,0,0.0,4,1,Gerda Van Cleemput,verhaal,1,1,0.0,1,1,0,0,1066
FD 1976 369,1976,1,0.0,4,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,780
KW BJ 53432,1976,1,0.0,4,0,L. Kurben,picture book,1,1,0.0,1,1,0,0,720
FF 1977 2,1977,1,0.0,4,0,Richard Macclure Scarry,picture book,1,1,0.0,1,1,0,0,625
KW XKY 325,1977,0,0.0,4,1,E. Mauritius,verhaal,1,0,0.0,0,1,0,0,619
FD 1977 40122,1977,1,0.0,4,0,Ruth Ainsworth,verhaal,1,0,0.0,1,1,0,0,990
GX 40009 3-1,1977,1,0.0,4,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,608
VD 1043 6-1,1978,1,0.0,4,0,Anneke van Luyk,picture book,1,1,0.0,1,1,0,0,312
FV 1978 40004,1978,0,1.0,4,1,Anonymous,picture book,1,1,1.0,1,1,0,0,182
KW GW P100729,1978,1,0.0,4,0,Anonymous,picture book,1,1,0.0,1,1,0,0,1795
FE 1979 40043,1978,1,0.0,4,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,587
KW BJ 52118,1979,0,0.0,4,0,Johannes Pieter Jacobus Helmich Clinge Doorenbos,picture book,1,1,0.0,1,1,0,0,524
FE 1979 100,1979,1,0.0,4,0,Nelly Johanna Kunst,verhaal,1,1,0.0,1,1,0,0,1048
VD 1064 5-1,1979,1,0.0,4,0,John Strejan,verhaal,1,1,0.0,1,1,0,0,463
BPN B8009042,1979,1,0.0,4,1,Hetty van den Heuvel,verhaal,1,0,0.0,1,1,0,0,3506
KW BJ 53284,1979,1,0.0,4,0,Carla Steen,verhaal,0,1,0.0,1,1,0,0,650
KW XKR 3215,1980,1,0.0,4,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,817
KW XKZ 1726,1980,0,1.0,4,1,Anonymous,verhaal,0,0,1.0,1,1,0,0,163
